vehicle_type,weight,max_load_capacity,passenger_count,cargo_weight,road_condition,weather,region,overloaded
heavy vehicle,5459.13919484856,16494.94104182555,1,8727.16791622963,good,clear,suburban,Not Overloaded
heavy vehicle,5206.559859328499,15680.444580569088,2,8645.221684389624,excellent,clear,highway,Not Overloaded
4-wheeler 5-seater,1400.559122531431,696.6987954530816,2,706.2364883500003,average,foggy,highway,Overloaded
heavy vehicle,5221.3043643471,18863.53952365465,2,9481.320883184373,good,windy,highway,Not Overloaded
heavy vehicle,8395.792237545716,9538.099320242243,2,13254.13782189544,average,windy,mountainous,Overloaded
heavy vehicle,6104.24695728885,8900.69357675366,2,11412.902200963124,poor,rainy,highway,Overloaded
4-wheeler 5-seater,809.7461201277631,468.71321514326075,4,230.3230706544294,good,clear,rural,Overloaded
heavy vehicle,5197.477502122735,18338.226887075725,2,12848.972695503777,excellent,clear,highway,Not Overloaded
delivery vehicle,2882.3902737747635,3500.204972841966,2,4136.77576533369,average,foggy,coastal,Overloaded
heavy vehicle,8425.997347769471,14773.97732005034,1,19259.584585955843,poor,windy,desert,Overloaded
heavy vehicle,5556.357834853188,13348.65527712494,1,7526.36419133041,excellent,clear,highway,Not Overloaded
4-wheeler 7-seater,2176.027361749645,918.8747149503372,2,1069.9528144759965,good,foggy,urban,Overloaded
heavy vehicle,7127.174768723471,15505.87386901711,1,18039.530887268338,excellent,clear,coastal,Overloaded
delivery vehicle,4314.831201968938,2972.2177425893256,1,4303.50485805286,very poor,windy,mountainous,Overloaded
4-wheeler 5-seater,1213.2433960378985,686.9739822477243,4,492.4834070890902,very poor,windy,suburban,Overloaded
heavy vehicle,5519.03562801332,14940.312158445555,1,7607.564070209493,good,clear,urban,Not Overloaded
delivery vehicle,4887.734397883176,3838.1261842578087,3,4919.27468204972,poor,extreme,rural,Overloaded
2-wheeler,132.12021155880245,212.7776009531941,2,84.03520292580058,average,snowy,desert,Overloaded
4-wheeler 5-seater,940.3550315081796,507.28036701056476,3,344.79234324448873,very poor,foggy,coastal,Overloaded
delivery vehicle,3575.191205172445,4486.46664988275,3,5638.108685638978,good,rainy,desert,Overloaded
heavy vehicle,6057.368074716201,14247.547242893497,1,15977.531562979148,very poor,extreme,highway,Overloaded
heavy vehicle,6479.526420651657,19215.545563852727,1,11713.917123755413,excellent,clear,highway,Not Overloaded
4-wheeler 5-seater,1020.3808865725858,438.1118125536372,1,515.2206540558669,good,windy,desert,Overloaded
heavy vehicle,5345.998584836227,13228.06802181434,1,15816.747811545025,very poor,clear,rural,Overloaded
heavy vehicle,6103.691238501181,18641.112201661188,1,9692.363125412883,average,clear,urban,Not Overloaded
heavy vehicle,5708.539991780566,16494.411603528388,1,8249.389895764147,excellent,windy,suburban,Not Overloaded
delivery vehicle,4918.562591481204,4002.051419330239,1,4941.033691105123,average,clear,rural,Overloaded
delivery vehicle,4821.270736908599,4188.286124626327,1,5796.155524336884,excellent,foggy,rural,Overloaded
4-wheeler 5-seater,1048.79664600853,671.6821544562963,3,673.8787743964464,excellent,clear,coastal,Overloaded
heavy vehicle,9321.536688725457,14548.3606938743,2,16761.326334643567,excellent,clear,urban,Overloaded
heavy vehicle,5790.350979188553,18112.475240900458,1,9188.25208238724,excellent,clear,highway,Not Overloaded
heavy vehicle,5191.277654279864,19603.634317285534,1,10259.764926537262,excellent,windy,rural,Not Overloaded
2-wheeler,145.64078713116314,196.94100740067222,1,180.1640376924782,good,snowy,highway,Overloaded
4-wheeler 5-seater,864.281108079938,660.4914683217421,2,752.3781015222147,average,extreme,urban,Overloaded
heavy vehicle,7762.611333659444,8856.881579753554,2,12048.15858612962,average,foggy,mountainous,Overloaded
delivery vehicle,3975.270242523062,2204.3268139353677,1,2968.6229962700927,good,rainy,urban,Overloaded
heavy vehicle,5935.770257934857,19080.614527555892,1,9924.603768274788,good,clear,urban,Not Overloaded
4-wheeler 5-seater,1336.8668709459957,508.9149748889234,1,596.8502897793654,very poor,snowy,urban,Overloaded
heavy vehicle,5024.214210904099,16969.167967247406,2,10278.000571987124,excellent,clear,rural,Not Overloaded
heavy vehicle,5438.751088162398,19913.877035591824,2,10276.020289891083,excellent,foggy,suburban,Not Overloaded
4-wheeler 7-seater,2416.7994893002738,896.3968320140091,6,599.7363857921902,poor,rainy,coastal,Overloaded
2-wheeler,108.53926271784266,208.09707592613742,1,172.27647456698236,excellent,snowy,desert,Overloaded
4-wheeler 5-seater,1209.4385137855786,538.5102521652946,2,584.6695695853203,good,windy,desert,Overloaded
heavy vehicle,5017.422828743482,16344.61036739087,1,9320.554839832384,excellent,clear,urban,Not Overloaded
heavy vehicle,5577.3863494487705,17339.931663023242,1,9221.128661278412,excellent,clear,rural,Not Overloaded
heavy vehicle,6300.991712463219,19855.96599757293,1,12261.620674656253,excellent,clear,urban,Not Overloaded
heavy vehicle,5195.381184453143,19152.02545424868,2,11600.550083039943,average,clear,highway,Not Overloaded
4-wheeler 5-seater,894.626622031234,443.2458779835741,5,110.85687605789421,poor,foggy,desert,Overloaded
heavy vehicle,9198.44548114749,18515.32898081751,2,22397.663123768914,average,windy,rural,Overloaded
2-wheeler,122.71209944659249,247.0446263434045,2,120.63939019674228,very poor,windy,desert,Overloaded
heavy vehicle,6988.718075880566,19406.891077318833,2,26590.889373534777,good,clear,suburban,Overloaded
4-wheeler 5-seater,990.1178313747196,690.1047959680284,1,862.9394656273287,good,windy,coastal,Overloaded
heavy vehicle,5157.475094433326,19741.91476403369,2,9938.86123931976,excellent,foggy,urban,Not Overloaded
2-wheeler,157.0565531807033,151.57620361816993,2,16.174349566346965,very poor,clear,rural,Overloaded
heavy vehicle,5394.18889324268,19612.714749511288,2,11192.451515798297,good,clear,urban,Not Overloaded
heavy vehicle,5406.615639856405,15281.274397790905,1,9323.444966978634,excellent,clear,highway,Not Overloaded
4-wheeler 5-seater,982.3937540816136,593.6333520760827,3,570.4837883747357,average,rainy,mountainous,Overloaded
4-wheeler 5-seater,941.9471260568284,538.3087317463261,3,490.8642094712189,excellent,extreme,highway,Overloaded
heavy vehicle,5495.112031048773,14671.33013480526,1,7610.791146650312,good,clear,suburban,Not Overloaded
2-wheeler,171.8302304015635,189.5921579462627,1,134.0365208781051,average,foggy,suburban,Overloaded
heavy vehicle,5728.733100271497,18476.073100537178,1,9597.598144515112,average,clear,urban,Not Overloaded
4-wheeler 7-seater,1964.7390785273255,941.3616892907012,7,522.7769622161003,poor,extreme,highway,Overloaded
heavy vehicle,5800.3235930310075,17436.30936311485,1,8844.43252997396,average,clear,suburban,Not Overloaded
heavy vehicle,5002.110343651621,16286.224425339713,2,8349.920290627982,excellent,clear,coastal,Not Overloaded
delivery vehicle,3625.636979438591,2195.1601521670973,1,2956.1628506564034,very poor,foggy,desert,Overloaded
heavy vehicle,6503.656997473447,18627.77926877277,1,11987.109442094341,excellent,clear,highway,Not Overloaded
2-wheeler,155.97494521486556,204.13962938186313,1,154.9370718092545,good,windy,suburban,Overloaded
2-wheeler,193.8949319254581,186.56862011557882,1,174.74616270202498,good,rainy,urban,Overloaded
2-wheeler,139.31402814837818,233.66080358530573,1,205.60022191552733,very poor,snowy,mountainous,Overloaded
heavy vehicle,5297.086029486399,19339.849302103605,1,11440.3609846585,good,clear,highway,Not Overloaded
heavy vehicle,6129.1383750325,16671.420032082144,2,8299.035647190289,excellent,clear,suburban,Not Overloaded
4-wheeler 7-seater,2120.5527983301886,757.7989215142326,1,956.1668712118108,poor,foggy,coastal,Overloaded
heavy vehicle,5606.320158501338,17337.636852391923,2,9327.086676951165,excellent,windy,suburban,Not Overloaded
heavy vehicle,5305.134211501248,16641.754729269967,1,9059.971470948944,excellent,clear,highway,Not Overloaded
heavy vehicle,5020.746465379408,14729.873044037373,1,7937.628738430447,average,clear,highway,Not Overloaded
delivery vehicle,4474.678650911837,4804.259086300557,2,6093.3184148630025,very poor,windy,mountainous,Overloaded
heavy vehicle,5020.426069875221,15202.646994862896,1,7808.178132186211,good,clear,coastal,Not Overloaded
heavy vehicle,7543.157279448384,18738.646259023808,2,24160.606048531292,excellent,extreme,highway,Overloaded
heavy vehicle,5037.326760906369,15342.230195986725,1,8590.664866755944,excellent,clear,rural,Not Overloaded
delivery vehicle,3207.7151798379164,2324.1589983309436,1,2577.036764843423,good,clear,rural,Overloaded
heavy vehicle,6111.573153639576,19363.04011461563,1,9927.168658742128,excellent,rainy,urban,Not Overloaded
heavy vehicle,5151.529981150279,17801.969067246166,2,8980.616439112835,good,clear,highway,Not Overloaded
heavy vehicle,5247.092001185636,16522.10448650669,2,9705.983275663159,good,clear,highway,Not Overloaded
heavy vehicle,11416.16101947526,10383.963509979727,2,13931.402091437856,good,rainy,mountainous,Overloaded
heavy vehicle,5513.93122620625,19899.011162627085,2,11875.694908398764,good,clear,highway,Not Overloaded
4-wheeler 5-seater,1268.6592100996943,548.104752291988,4,340.22602402529833,good,extreme,coastal,Overloaded
2-wheeler,126.75192306947027,182.03043129486218,1,133.12568691204345,poor,rainy,mountainous,Overloaded
heavy vehicle,6516.492358938209,17413.470666976093,1,9387.86288238273,excellent,clear,urban,Not Overloaded
heavy vehicle,6291.278545414169,17172.560668977712,1,9894.757431461614,excellent,clear,urban,Not Overloaded
heavy vehicle,9951.230023140386,15011.10897267196,1,18363.849906505147,average,clear,desert,Overloaded
heavy vehicle,5389.299927025692,19776.472215164707,1,12461.723120012572,average,clear,highway,Not Overloaded
heavy vehicle,5358.732328610202,19834.887856202542,2,10221.586246429632,good,clear,coastal,Not Overloaded
2-wheeler,148.161439308567,231.54067632162776,2,135.52426675689196,good,clear,rural,Overloaded
heavy vehicle,5158.020553625883,18310.35803926095,1,10773.53006821604,excellent,clear,rural,Not Overloaded
delivery vehicle,3345.8950530699753,3462.3403674734236,2,4980.787237392971,excellent,extreme,urban,Overloaded
4-wheeler 5-seater,1031.742298388324,560.1380897102024,3,450.6918863585971,good,foggy,highway,Overloaded
delivery vehicle,4658.68269781349,4704.81810829926,3,6005.035421532743,good,foggy,rural,Overloaded
4-wheeler 5-seater,1304.7494474749299,483.7731946714565,5,197.89728998284488,good,clear,suburban,Overloaded
heavy vehicle,5921.228852739425,19561.683129880083,2,10170.996663194699,good,clear,highway,Not Overloaded
2-wheeler,157.1870707648045,213.22823443879926,1,184.7473058897735,average,clear,highway,Overloaded
heavy vehicle,6761.227165328898,15638.686132481023,1,22311.714318456296,very poor,rainy,suburban,Overloaded
4-wheeler 7-seater,2044.4290968941061,732.3358094566875,1,856.2575584593014,poor,extreme,highway,Overloaded
delivery vehicle,4001.240171452923,4073.5962914388365,3,5120.191502374601,excellent,extreme,mountainous,Overloaded
4-wheeler 5-seater,1463.3700712114278,425.77600577641886,1,513.3006204233975,excellent,clear,rural,Overloaded
heavy vehicle,5533.135633961253,16050.353079982495,1,9030.854877356902,excellent,clear,rural,Not Overloaded
2-wheeler,137.22986292206124,160.48880606381692,1,112.9549108779877,average,rainy,suburban,Overloaded
delivery vehicle,3989.062610351838,4968.242634172399,1,5785.540901011508,very poor,foggy,rural,Overloaded
heavy vehicle,5818.352537662749,15884.18696445584,2,8516.282864419998,excellent,clear,rural,Not Overloaded
2-wheeler,132.08960206005125,173.55646664169373,1,121.91067124719352,very poor,snowy,highway,Overloaded
4-wheeler 7-seater,1810.3195750452319,876.9974216920525,6,506.8479511852188,average,windy,rural,Overloaded
heavy vehicle,5694.38174914107,16376.198849255186,1,9593.545933683083,good,clear,highway,Not Overloaded
delivery vehicle,4285.323573835326,4586.01250259323,2,6179.058957588587,average,foggy,mountainous,Overloaded
heavy vehicle,5482.068131284722,18192.63031663451,1,10096.637787581667,excellent,clear,coastal,Not Overloaded
delivery vehicle,3839.011035665011,2428.792288088465,1,3279.3911706511485,very poor,extreme,desert,Overloaded
4-wheeler 5-seater,1372.0709741503051,553.0206255770361,3,497.5490587205517,good,rainy,rural,Overloaded
heavy vehicle,5980.551678514848,17479.01206947356,1,10221.840386720534,excellent,clear,urban,Not Overloaded
heavy vehicle,5466.856418138776,11427.60221828537,1,5715.652005463943,excellent,clear,highway,Not Overloaded
2-wheeler,142.04723743133908,175.52039484138842,2,49.56082648819236,excellent,foggy,rural,Overloaded
heavy vehicle,5129.633816127442,13893.055291536955,1,7885.819707445348,excellent,clear,suburban,Not Overloaded
2-wheeler,185.7147187422866,162.1333926807539,1,121.79411365407425,good,extreme,urban,Overloaded
4-wheeler 5-seater,1093.296014328932,680.5088000620833,1,846.2533108836155,good,windy,suburban,Overloaded
heavy vehicle,5933.621069957865,17746.561448030123,1,9354.649080364145,excellent,clear,coastal,Not Overloaded
heavy vehicle,6140.041559578305,19306.75143541406,2,10753.73330081541,good,clear,rural,Not Overloaded
4-wheeler 5-seater,997.8283772686888,486.2965166140777,4,249.166639277476,very poor,rainy,urban,Overloaded
heavy vehicle,6059.2207027321665,15868.881112063427,1,7928.772500903875,excellent,clear,highway,Not Overloaded
heavy vehicle,5260.057537981285,16947.17438964198,1,8677.649791126925,excellent,clear,desert,Not Overloaded
4-wheeler 5-seater,1426.971499678678,480.7069161566905,3,334.27900233892757,poor,foggy,mountainous,Overloaded
4-wheeler 5-seater,811.6712034266523,604.1444988444703,5,329.1308330101822,very poor,clear,suburban,Overloaded
heavy vehicle,6956.2116280246255,19393.94630966604,2,9755.673172987508,excellent,clear,highway,Not Overloaded
heavy vehicle,5502.031403461453,18139.791736871986,2,9963.535076468765,good,clear,rural,Not Overloaded
4-wheeler 5-seater,820.4584794811414,612.115948996781,1,708.6464790599665,poor,foggy,coastal,Overloaded
heavy vehicle,5187.511954415003,14624.439570962237,1,8094.6038998646145,excellent,clear,suburban,Not Overloaded
delivery vehicle,4487.763286113923,2279.536359418305,3,2681.0595129902613,very poor,snowy,mountainous,Overloaded
2-wheeler,174.40627017818696,246.24672165323142,2,132.6939713969184,excellent,clear,mountainous,Overloaded
heavy vehicle,6079.053075436863,15504.634034036859,1,8192.699804901464,excellent,clear,rural,Not Overloaded
heavy vehicle,5230.6161637180585,18231.54382142198,1,10019.138486467426,good,clear,urban,Not Overloaded
heavy vehicle,6568.0005394804175,19526.573873791152,1,9876.11110216485,average,clear,highway,Not Overloaded
heavy vehicle,5443.470005354403,18052.438309030007,1,11873.99488958655,excellent,clear,suburban,Not Overloaded
4-wheeler 5-seater,1387.4019974140601,562.3399101023497,1,572.3232203123544,very poor,clear,desert,Overloaded
heavy vehicle,5062.964941143258,17391.696189040522,2,9332.57612257217,good,clear,highway,Not Overloaded
heavy vehicle,9549.256876723786,17409.94846300012,1,21652.413893086938,poor,rainy,desert,Overloaded
heavy vehicle,6135.915603807454,15499.588188558126,2,8463.736605339836,excellent,clear,highway,Not Overloaded
4-wheeler 5-seater,1002.6767880834019,505.6947216966585,4,289.69078476492166,excellent,extreme,mountainous,Overloaded
heavy vehicle,6103.770947680017,19165.31897255926,1,11551.982083518576,excellent,clear,urban,Not Overloaded
heavy vehicle,7097.893323559965,16744.706504165322,1,8342.899605849883,excellent,clear,urban,Not Overloaded
heavy vehicle,5365.160655250343,19878.943060401565,1,10756.557281231597,average,clear,suburban,Not Overloaded
heavy vehicle,7241.115910728951,17049.298529098996,1,8922.307075501109,good,clear,highway,Not Overloaded
heavy vehicle,5760.786527562193,19640.117681657972,1,10018.318712903885,excellent,clear,highway,Not Overloaded
2-wheeler,110.00073007206495,205.34090105819402,1,200.30370030975783,excellent,foggy,coastal,Overloaded
heavy vehicle,5213.7442925757,16523.570078755583,1,8868.714717130993,good,clear,coastal,Not Overloaded
heavy vehicle,7397.519258949134,10782.667455869965,2,13075.063263820137,very poor,extreme,highway,Overloaded
heavy vehicle,5170.537132696741,17729.809606607836,1,9649.940035899705,excellent,rainy,highway,Not Overloaded
delivery vehicle,3588.86965630884,2410.0136739741665,3,2802.946366312571,poor,windy,suburban,Overloaded
4-wheeler 7-seater,1555.9643547075498,743.0536752677116,6,440.80436487444325,poor,foggy,suburban,Overloaded
4-wheeler 7-seater,1848.0936669483372,960.6225106982299,3,951.3134098792276,good,windy,mountainous,Overloaded
heavy vehicle,5118.26838163327,17802.802003281075,2,9932.256841779243,good,clear,coastal,Not Overloaded
2-wheeler,122.06910029633192,205.6721120862428,2,74.94886297566873,average,snowy,rural,Overloaded
delivery vehicle,3267.915246481355,4651.893051009267,2,6059.999733767356,average,foggy,mountainous,Overloaded
heavy vehicle,7518.811070680388,16295.200660312952,2,23693.153841715954,good,foggy,rural,Overloaded
heavy vehicle,6359.461111917762,17169.439611527217,1,9130.18188327785,excellent,clear,coastal,Not Overloaded
heavy vehicle,10072.262167480047,16295.499550817012,1,21238.894432448848,poor,foggy,urban,Overloaded
4-wheeler 5-seater,1381.5182650959698,528.650590275762,5,244.5699610061758,excellent,clear,mountainous,Overloaded
heavy vehicle,6439.156672756,19559.238659537812,1,11473.975406309279,excellent,clear,urban,Not Overloaded
heavy vehicle,5971.322569149475,18119.079376639107,1,9128.26146899208,average,clear,urban,Not Overloaded
4-wheeler 5-seater,1300.8335348891733,494.87836092470957,1,510.30022742110486,poor,windy,rural,Overloaded
heavy vehicle,5364.323045342647,17791.05631743263,1,9425.017364106356,average,clear,rural,Not Overloaded
heavy vehicle,6020.63245775125,18321.589211533268,2,9110.03211567778,good,windy,highway,Not Overloaded
heavy vehicle,5143.820616961795,18185.663958000536,1,9683.385888564999,excellent,clear,rural,Not Overloaded
heavy vehicle,7056.413098215936,19897.052490736456,2,10273.341153113,excellent,clear,rural,Not Overloaded
heavy vehicle,5389.150178762021,18598.02447122503,2,11107.96936300902,excellent,clear,rural,Not Overloaded
heavy vehicle,5419.435719916727,19833.633397125035,1,10654.8525926907,average,clear,suburban,Not Overloaded
4-wheeler 7-seater,1919.5830024715376,753.095878429325,6,481.8180136610107,good,snowy,suburban,Overloaded
heavy vehicle,8841.389096811658,19578.27878883283,1,22795.665582634985,very poor,snowy,desert,Overloaded
heavy vehicle,7021.030699851335,19343.60079102696,2,11605.762877426476,excellent,clear,highway,Not Overloaded
2-wheeler,137.81185908418877,176.45243717292257,1,128.67503004069303,excellent,windy,suburban,Overloaded
heavy vehicle,6403.319050649281,16632.29452769203,2,8348.433699449115,excellent,clear,highway,Not Overloaded
4-wheeler 5-seater,1346.7082111776258,505.2030085060785,5,197.53762795457274,average,foggy,urban,Overloaded
heavy vehicle,6222.646425146202,16207.403171038855,1,8095.593613479018,good,clear,suburban,Not Overloaded
2-wheeler,196.13556081360784,221.65650212444461,1,199.10759215359067,poor,rainy,mountainous,Overloaded
heavy vehicle,8740.78136945926,10925.896515692019,1,16237.523804996325,poor,clear,highway,Overloaded
heavy vehicle,5724.4082990517045,11382.748040319351,1,14311.074000189697,excellent,rainy,suburban,Overloaded
heavy vehicle,6276.015358497336,17899.68057636016,2,9481.276479465067,excellent,clear,highway,Not Overloaded
2-wheeler,103.85801411296978,175.69487316932148,1,124.12689859026614,very poor,snowy,urban,Overloaded
heavy vehicle,7181.751857882195,19506.159283799716,1,10060.60799371977,excellent,clear,highway,Not Overloaded
delivery vehicle,4328.093344396228,3887.991430111577,2,5619.823706358369,excellent,clear,highway,Overloaded
delivery vehicle,3859.5050794825524,3731.6072206999706,1,5191.247685571722,very poor,foggy,urban,Overloaded
heavy vehicle,5349.184018748726,16887.081418417998,1,9084.855570555277,good,windy,highway,Not Overloaded
heavy vehicle,5499.0060444593255,19480.246509201254,2,10829.50365673043,excellent,rainy,highway,Not Overloaded
4-wheeler 5-seater,1168.1044134022486,648.4925097364793,4,499.35987864003323,poor,windy,highway,Overloaded
heavy vehicle,5084.648799959617,16758.781104758833,1,8439.264852476292,good,clear,coastal,Not Overloaded
heavy vehicle,11014.762178716926,11434.438485940576,2,13672.581263361266,very poor,clear,mountainous,Overloaded
heavy vehicle,5104.356338773816,14986.058223933582,1,7603.683372689247,excellent,clear,desert,Not Overloaded
4-wheeler 7-seater,1635.6849633625948,651.3591570550975,4,454.91895677575076,average,rainy,rural,Overloaded
heavy vehicle,5306.3629643988315,18097.564568731083,2,9025.846045765345,good,rainy,urban,Not Overloaded
heavy vehicle,6089.121522061019,18124.79405832612,2,10600.452163493608,excellent,clear,urban,Not Overloaded
4-wheeler 7-seater,2141.757720081026,839.001238714703,6,610.6028095053122,poor,snowy,coastal,Overloaded
heavy vehicle,10787.720702020244,10016.022991012262,1,12568.56446963435,very poor,clear,rural,Overloaded
2-wheeler,173.952937655799,230.9640118037501,1,178.31297054132565,average,extreme,mountainous,Overloaded
heavy vehicle,10005.429372215653,11821.230654837356,2,14327.911739999956,average,snowy,suburban,Overloaded
heavy vehicle,5176.759237819408,19363.70901549995,1,10565.015504759562,excellent,rainy,urban,Not Overloaded
4-wheeler 5-seater,1062.2160521779585,492.7846160413559,1,467.89126222208375,very poor,windy,mountainous,Overloaded
4-wheeler 5-seater,1383.7536995527198,666.5780773904773,5,378.4933735624776,excellent,clear,mountainous,Overloaded
heavy vehicle,6242.98493133846,19055.767537952135,2,10617.5950087772,excellent,clear,highway,Not Overloaded
heavy vehicle,7055.016155896916,16616.270649944905,2,9315.08813176132,excellent,clear,highway,Not Overloaded
4-wheeler 5-seater,1047.431598645676,561.611670758212,4,316.8047829749339,poor,extreme,mountainous,Overloaded
heavy vehicle,5701.799583091904,19307.999899564682,1,11080.064002933103,average,clear,highway,Not Overloaded
heavy vehicle,6163.04766299652,18506.02525310903,2,11075.556210002327,excellent,clear,urban,Not Overloaded
4-wheeler 7-seater,1842.3670955952748,772.0749446839984,7,416.1412166674288,poor,snowy,urban,Overloaded
heavy vehicle,5678.171945979687,15512.187420773022,1,7752.640234866071,excellent,clear,rural,Not Overloaded
heavy vehicle,5434.765082864106,19629.506355977555,2,10307.818112522144,average,windy,suburban,Not Overloaded
4-wheeler 5-seater,1304.2997841480005,484.49632527125607,2,428.59884161155594,excellent,snowy,mountainous,Overloaded
delivery vehicle,3835.5335986958307,3727.8881583612197,3,3950.656891134391,excellent,snowy,rural,Overloaded
heavy vehicle,5027.649575652843,18786.8675287528,2,10651.852770098507,excellent,clear,coastal,Not Overloaded
4-wheeler 7-seater,1739.4651002052333,610.6955078486128,6,248.00299644274293,excellent,rainy,highway,Overloaded
heavy vehicle,6026.166903484346,19831.973361715885,2,11319.94978325243,excellent,clear,urban,Not Overloaded
heavy vehicle,8321.15696512071,18901.861613922156,2,9427.73651022234,good,clear,highway,Not Overloaded
4-wheeler 7-seater,2317.335834783811,875.4633404932822,3,989.6190410092112,poor,windy,suburban,Overloaded
heavy vehicle,5555.071649491326,15246.938329449367,2,9109.517444818901,excellent,clear,highway,Not Overloaded
heavy vehicle,6992.06211517247,11216.60029329809,2,14998.40339958291,poor,extreme,highway,Overloaded
delivery vehicle,3073.9921313614486,2385.9709775845495,3,3060.049736783047,excellent,extreme,highway,Overloaded
heavy vehicle,5102.695742947614,17005.217119425124,2,10550.744315548323,excellent,clear,suburban,Not Overloaded
heavy vehicle,5747.709685652459,16392.178065663247,1,8917.047160002998,excellent,clear,rural,Not Overloaded
heavy vehicle,5752.4972036224035,17511.653548484523,2,8799.085117553803,average,clear,highway,Not Overloaded
heavy vehicle,6734.852483393439,18016.79414097604,2,9112.703056561337,excellent,clear,rural,Not Overloaded
2-wheeler,115.11648191106963,233.79439947738553,1,231.95600315186326,very poor,snowy,suburban,Overloaded
2-wheeler,131.77857003708272,213.0010487093802,2,89.4340596084991,very poor,snowy,rural,Overloaded
heavy vehicle,5399.68339769881,17541.94768409276,2,9205.597340506296,excellent,clear,suburban,Not Overloaded
delivery vehicle,3402.7280150522765,2061.3967423465824,1,2198.03716834644,excellent,foggy,urban,Overloaded
heavy vehicle,6347.3836827834875,18791.10935429636,1,9885.340860652417,good,clear,rural,Not Overloaded
heavy vehicle,5422.8194678333975,16943.739106302965,2,8760.159238399081,excellent,clear,urban,Not Overloaded
heavy vehicle,5234.64488233568,18584.358204169068,1,9854.973740425268,excellent,windy,suburban,Not Overloaded
heavy vehicle,5220.88995552484,18390.167691471743,2,9250.69411467748,good,clear,coastal,Not Overloaded
heavy vehicle,6484.958895458813,19628.064719286045,1,10049.707769788076,excellent,rainy,highway,Not Overloaded
4-wheeler 7-seater,2364.7185659717907,615.6220817866741,4,473.66032831082885,poor,clear,desert,Overloaded
2-wheeler,187.36577090295907,247.17461521077257,1,219.22549902976428,excellent,foggy,rural,Overloaded
heavy vehicle,7298.085340671467,19121.73981007679,2,9623.406892964547,good,clear,urban,Not Overloaded
heavy vehicle,5081.1691586254765,19463.23469987537,2,10347.167480525708,average,windy,highway,Not Overloaded
4-wheeler 5-seater,967.1252310963963,502.9339501048751,2,433.5191453132469,average,rainy,rural,Overloaded
delivery vehicle,3952.3689160863632,2425.6430660797782,3,3111.2161400504883,excellent,extreme,coastal,Overloaded
4-wheeler 5-seater,944.4356926641412,519.9043825406848,1,535.4851213083008,poor,snowy,highway,Overloaded
heavy vehicle,5223.214806337868,18152.69567835507,1,11113.338799039975,average,clear,highway,Not Overloaded
heavy vehicle,9477.271015221955,15917.396273877264,1,18719.358817438435,excellent,clear,suburban,Overloaded
heavy vehicle,8288.180103710652,19497.663023871934,2,9708.43649780992,good,clear,highway,Not Overloaded
heavy vehicle,5036.5233906907715,19660.81425123977,1,11022.132381762593,good,windy,suburban,Not Overloaded
4-wheeler 5-seater,839.9862993533246,644.167011714346,5,373.08445694207956,average,rainy,rural,Overloaded
heavy vehicle,5095.686749794516,19357.47791172468,1,10361.88798668925,excellent,clear,rural,Not Overloaded
heavy vehicle,5319.978589823391,19908.445130097454,1,11789.615098673035,good,clear,coastal,Not Overloaded
heavy vehicle,10005.57780678078,15370.736550122554,2,17249.18134867872,average,foggy,highway,Overloaded
heavy vehicle,5156.904371501129,15705.835912276136,2,8492.965334758494,good,clear,suburban,Not Overloaded
heavy vehicle,5127.478922686308,19457.936968184535,2,9731.206574485384,average,rainy,highway,Not Overloaded
heavy vehicle,5433.3360937323305,14408.506235135654,1,7249.608287423412,average,clear,highway,Not Overloaded
heavy vehicle,7983.542678406977,19272.613770087966,1,10371.863104890168,excellent,clear,highway,Not Overloaded
4-wheeler 5-seater,973.2887321940409,652.0251628541843,3,603.5753542649938,poor,extreme,suburban,Overloaded
delivery vehicle,2876.021974997005,4216.2131933536575,3,5624.846483162697,excellent,rainy,mountainous,Overloaded
4-wheeler 7-seater,1880.527782815052,639.6686850612261,1,665.6164316179211,excellent,clear,highway,Overloaded
heavy vehicle,9446.872257997777,18481.173427344376,2,24426.466788884944,very poor,foggy,urban,Overloaded
heavy vehicle,6937.266289376897,19581.53740663764,2,10526.980050594151,excellent,clear,highway,Not Overloaded
heavy vehicle,8466.104404827262,19465.660955074633,1,9766.280488183846,excellent,clear,suburban,Not Overloaded
4-wheeler 7-seater,1980.4360839934404,623.3283602507162,1,681.8680241923748,very poor,clear,mountainous,Overloaded
heavy vehicle,9341.506702292536,11693.935162061694,1,16392.402409982642,excellent,clear,rural,Overloaded
heavy vehicle,5235.087145596547,19661.44907660057,2,11058.873566845687,average,clear,highway,Not Overloaded
heavy vehicle,5059.161657841972,18019.880465308608,2,9805.323818071627,good,windy,urban,Not Overloaded
heavy vehicle,5461.129590869506,19784.328832940075,2,10918.603268500066,excellent,clear,desert,Not Overloaded
4-wheeler 5-seater,1049.59211971645,622.301913616311,4,453.21592176073136,poor,snowy,urban,Overloaded
heavy vehicle,5919.708667227874,19170.368389769515,1,9789.978796807985,excellent,rainy,urban,Not Overloaded
heavy vehicle,5353.270697033326,18344.797657806805,1,9668.115439612147,good,clear,desert,Not Overloaded
2-wheeler,156.7301879922883,221.92472992271547,1,173.96141120230018,very poor,foggy,urban,Overloaded
heavy vehicle,9678.60645641511,13513.445430063508,2,16500.583219507982,very poor,foggy,desert,Overloaded
heavy vehicle,5877.848953368239,17102.81399649245,1,10013.58089801086,excellent,clear,suburban,Not Overloaded
